video_path,label,transcript,sentiment,dominant_emotion,confidence_emotion,pitch_mean,energy_mean,speech_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,keyword_count,keyword_type,vision_score,audio_score,semantic_score,final_score,face_detected,landmark_count,face_center_x,face_center_y,face_width,face_height
data/raw_videos/warm/vid24.mp4,warm,Je me sens bien ici. Mais je ne sais pas encore si c'est vraiment chez moi.,positive,happy,99.984,1033.718,0.07473,2.0,-269.053,111.671,13.966,26.281,-6.077,0,warm_hesitation,1.0,0.648,0.45,0.6744,1,468,0.4413,0.4523,0.5379,0.3717
data/raw_videos/warm/vid25.mp4,warm,J'aime l'ambiance et je ne suis pas encore totalement convaincu.,neutral,happy,83.13,1120.783,0.07526,1.25,-228.834,92.967,0.218,17.117,-11.834,0,warm_hesitation,0.9663,0.577,0.45,0.643,1,468,0.4319,0.4158,0.4598,0.3293
data/raw_videos/warm/vid26.mp4,warm,"Je suis intéressé, mais je ne ressens pas encore une totale certitude.",neutral,fear,59.748,1464.836,0.05846,1.5,-255.58,92.356,-5.277,20.647,13.163,0,warm_hesitation,0.4995,0.501,0.45,0.4802,1,468,0.4125,0.3728,0.4951,0.3404
data/raw_videos/warm/vid27.mp4,warm,"Oui, il y a du potentiel, mais je préfère encore réfléchir un peu.",neutral,neutral,79.927,989.423,0.06448,1.625,-249.515,133.446,-8.078,29.567,-2.802,0,warm_hesitation,0.6599,0.549,0.45,0.5427,1,468,0.4512,0.3541,0.5272,0.369
data/raw_videos/warm/vid28.mp4,warm,"Franchement, ça représente tellement de choses que... J'hésite encore beaucoup.",negative,neutral,99.605,1527.512,0.04602,1.25,-284.674,98.522,8.949,17.259,6.662,0,warm_hesitation,0.6992,0.401,0.45,0.5101,1,468,0.4481,0.4935,0.5446,0.3591
data/raw_videos/warm/vid29.mp4,warm,J'aime l'ambiance et je ne suis pas encore totalement convaincu.,neutral,neutral,84.566,1150.514,0.08357,1.25,-216.606,95.89,7.413,20.055,-5.561,0,warm_hesitation,0.6691,0.626,0.45,0.5685,1,468,0.4484,0.4159,0.4415,0.3108
data/raw_videos/warm/vid3.mp4,warm,"Hmm... Il y a des choses qui me plaisent, mais je préfère prendre encore un peu de temps.",neutral,sad,83.867,1463.347,0.02788,2.25,-329.956,84.48,2.41,22.946,10.145,0,warm_hesitation,0.4877,0.392,0.45,0.4439,1,468,0.3981,0.3077,0.4096,0.274
data/raw_videos/warm/vid30.mp4,warm,Je pense que j'ai encore besoin de temps avant de me dissider.,neutral,neutral,84.857,975.061,0.03194,1.5,-331.593,109.158,1.413,18.699,13.845,0,warm_hesitation,0.6697,0.342,0.45,0.4835,1,468,0.4268,0.3964,0.5223,0.3671
data/raw_videos/warm/vid31.mp4,warm,"L'appartement est vraiment beau, mais je réfléchis encore au côté financier.",neutral,fear,85.157,1168.771,0.0753,1.375,-240.04,109.826,-5.749,21.756,-6.724,0,warm_hesitation,0.5503,0.589,0.45,0.5218,1,468,0.426,0.3332,0.4211,0.304
data/raw_videos/warm/vid32.mp4,warm,"Je suis intéressé, mais je ne ressens pas encore une totale certitude.",neutral,neutral,82.682,972.845,0.05262,1.5,-273.973,108.66,9.042,16.734,12.237,0,warm_hesitation,0.6654,0.466,0.45,0.5194,1,468,0.4418,0.4653,0.6457,0.4395
data/raw_videos/warm/vid34.mp4,warm,"Comme ce fante-là, ça me plaît beaucoup et ça reste une énorme décision pour moi.",positive,fear,89.906,1036.27,0.05219,1.875,-291.116,94.421,2.19,9.66,3.806,0,warm_hesitation,0.5098,0.501,0.45,0.4832,1,468,0.4951,0.3911,0.4086,0.2941
data/raw_videos/warm/vid35.mp4,warm,Oui c'est agréable ici mais je préfère ne pas me précipiter.,neutral,happy,67.575,896.574,0.07486,1.375,-232.991,103.762,16.119,24.88,1.54,0,warm_hesitation,0.9351,0.587,0.45,0.6366,1,468,0.4398,0.454,0.5423,0.3825
data/raw_videos/warm/vid36.mp4,warm,"Je trouve cet appartement assez intéressant. J'aime bien la disposition des pièces et l'emplacement semble pratique. Après, je préfère encore réfléchir un peu.",neutral,sad,64.901,1276.815,0.05822,2.875,-232.409,93.141,1.137,13.85,-0.536,0,warm_hesitation,0.4498,0.637,0.45,0.506,1,468,0.4671,0.253,0.1078,0.2394
data/raw_videos/warm/vid4.mp4,warm,"Franchement, la décision est plus difficile qu'à ce que je pensais.",neutral,sad,79.524,1366.921,0.0296,1.375,-323.029,91.654,0.975,23.589,18.715,0,warm_hesitation,0.479,0.315,0.45,0.4182,1,468,0.4673,0.4245,0.4573,0.3131
data/raw_videos/warm/vid5.mp4,warm,"Oui, c'est intéressant, mais je préfère rester prudent pour le moment.",neutral,neutral,90.263,948.537,0.03856,1.375,-315.583,106.953,3.865,15.741,8.312,0,warm_hesitation,0.6805,0.369,0.45,0.4949,1,468,0.3485,0.3456,0.4385,0.299
data/raw_videos/warm/vid6.mp4,warm,Bonne êtrement et j'ai encore beaucoup de doute avant de prendre une décision.,positive,neutral,96.936,892.023,0.04227,1.625,-329.672,112.453,17.207,18.852,10.187,0,warm_hesitation,0.6939,0.416,0.45,0.513,1,468,0.4355,0.4189,0.5483,0.3825
data/raw_videos/warm/vid7.mp4,warm,"Franchement, j'aime bien l'endroit, mais je préfère encore réfléchir un peu avant de me décider.",neutral,neutral,90.449,1265.545,0.04947,1.875,-294.053,101.194,-0.034,14.644,-2.461,0,warm_hesitation,0.6809,0.484,0.45,0.5295,1,468,0.3737,0.3891,0.4887,0.338
data/raw_videos/warm/vid8.mp4,warm,"En être moi, je suis encore très ézitant avant de prendre une décision comme ça.",neutral,sad,72.829,929.281,0.03468,1.875,-320.766,113.816,10.175,9.694,5.188,0,warm_hesitation,0.4657,0.396,0.45,0.4385,1,468,0.5075,0.4767,0.5702,0.4021
data/raw_videos/warm/vid9.mp4,warm,"Franchement, j'aime bien. Mais je ne suis pas encore sûr à 100%.",positive,neutral,69.384,1456.129,0.03841,1.5,-308.132,97.194,8.819,18.53,6.578,0,warm_hesitation,0.6388,0.38,0.45,0.4856,1,468,0.3982,0.4672,0.539,0.3727
