age,income,profession,property_type,budget,num_visits,source_lead,binary_target,total_time_spent_website,page_views_per_visit,city,lead_origin,last_activity,last_notable_activity,score_lead,label_raw,ratio_budget_income,interaction_score,label,target_multiclasse_id,prospect_id
21,3886.0,Unemployed,Villa,237649.0,2.0,Google,0,310,2.0,Select,API,Email Link Clicked,Email Link Clicked,1,Froid,61.1551724137931,2.22,cold,0,tabular_000039
77,2961.0,Unemployed,Appartement,322772.0,4.0,Google,1,25,4.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,2,Tiede,109.00776764606552,3.25,warm,1,tabular_000040
31,2659.0,Unemployed,Maison,250000.0,3.0,Direct Traffic,0,342,3.0,Select,API,Email Opened,Email Opened,2,Tiede,94.0203083866115,3.084,warm,1,tabular_000041
26,2500.0,Unemployed,Terrain,360354.0,7.0,Organic Search,0,38,7.0,Mumbai,Landing Page Submission,Unsubscribed,Unsubscribed,2,Tiede,144.1416,5.675999999999999,warm,1,tabular_000042
70,3541.0,Unemployed,Appartement,245000.0,5.0,Google,0,199,5.0,Select,API,Email Opened,Email Opened,3,Tiede,69.18949449308106,4.398,warm,1,tabular_000043
19,8596.0,Unknown,Villa,544320.0,5.0,Google,0,222,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,63.32247557003257,4.444,hot,2,tabular_000044
77,4053.0,Unemployed,Studio,495378.0,6.0,Direct Traffic,0,275,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,122.22501850481125,4.45,warm,1,tabular_000045
88,2848.0,Unemployed,Terrain,288320.0,4.0,Google,0,287,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,0,Froid,101.23595505617978,3.1740000000000004,cold,0,tabular_000046
61,3218.0,Unemployed,Maison,250000.0,2.0,Direct Traffic,0,547,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,1,Froid,77.68800497203232,2.694,cold,0,tabular_000047
25,6179.0,Unknown,Appartement,717703.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,0,Froid,116.15196633759508,0.0,cold,0,tabular_000048
64,4909.0,Unemployed,Maison,138350.0,6.0,Google,0,1225,6.0,Thane & Outskirts,API,Page Visited on Website,Modified,4,Chaud,28.18292931350581,7.25,hot,2,tabular_000049
52,6189.0,Unknown,Maison,469224.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,75.81580222976248,0.0,cold,0,tabular_000050
53,4432.0,Unemployed,Terrain,308856.0,0.0,Olark Chat,1,0,0.0,Thane & Outskirts,API,Email Opened,Modified,2,Tiede,69.68772563176896,0.0,warm,1,tabular_000051
67,4666.0,Unemployed,Terrain,376160.0,5.0,Google,0,160,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,80.61723103300471,4.32,warm,1,tabular_000052
21,3068.0,Unemployed,Terrain,167500.0,6.0,Organic Search,0,394,2.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,54.595827900912646,4.388,warm,1,tabular_000053
19,8170.0,Unknown,Terrain,461648.0,6.0,Google,0,286,1.5,Unknown,API,Olark Chat Conversation,Modified,3,Tiede,56.50526315789474,4.022,warm,1,tabular_000054
23,6669.0,Unknown,Studio,813636.0,7.0,Organic Search,0,96,2.33,Unknown,API,Email Opened,Email Opened,1,Froid,122.00269905533064,4.391,cold,0,tabular_000055
71,2500.0,Unemployed,Villa,293406.0,2.0,Organic Search,0,12,2.0,Select,API,Email Opened,Email Opened,0,Froid,117.3624,1.624,cold,0,tabular_000056
21,2500.0,Unemployed,Terrain,156632.0,13.0,Referral Sites,1,436,13.0,Other Metro Cities,Landing Page Submission,Form Submitted on Website,Modified,4,Chaud,62.6528,11.272,hot,2,tabular_000057
71,2754.0,Unemployed,Appartement,204620.0,8.0,Referral Sites,1,903,8.0,Other Cities of Maharashtra,API,Page Visited on Website,Page Visited on Website,4,Chaud,74.29920116194626,8.206,hot,2,tabular_000058
80,2500.0,Unemployed,Maison,280000.0,17.0,Organic Search,0,409,8.5,Mumbai,Landing Page Submission,Email Opened,Modified,2,Tiede,112.0,11.868,warm,1,tabular_000059
35,3546.0,Unemployed,Terrain,212465.0,11.0,Referral Sites,0,685,5.5,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,3,Tiede,59.91680767061478,8.52,warm,1,tabular_000060
61,3371.0,Unemployed,Appartement,227904.0,4.0,Google,0,213,4.0,Mumbai,API,Form Submitted on Website,Modified,2,Tiede,67.60723820824681,3.626,warm,1,tabular_000061
51,2500.0,Unemployed,Studio,300000.0,0.0,Olark Chat,0,0,0.0,Select,API,Email Opened,Email Opened,0,Froid,120.0,0.0,cold,0,tabular_000062
79,4609.0,Unemployed,Appartement,325772.0,7.0,Organic Search,1,1468,3.5,Mumbai,API,Page Visited on Website,Modified,5,Chaud,70.68170969841614,7.486,hot,2,tabular_000063
31,8996.0,Unknown,Appartement,557708.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Email Link Clicked,Modified,2,Tiede,61.99510893730547,0.0,warm,1,tabular_000064
65,11246.0,Working Professional,Studio,988107.0,4.0,Direct Traffic,1,1435,4.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,5,Chaud,87.8629735016895,6.07,hot,2,tabular_000065
32,3984.0,Unemployed,Studio,452320.0,1.0,Google,1,157,1.0,Other Cities of Maharashtra,Landing Page Submission,Converted to Lead,Modified,1,Froid,113.53413654618474,1.114,cold,0,tabular_000066
89,3354.0,Unemployed,Maison,488950.0,3.0,Google,1,885,1.5,Mumbai,API,Had a Phone Conversation,Had a Phone Conversation,1,Froid,145.78115682766847,3.72,cold,0,tabular_000067
79,4939.0,Unemployed,Terrain,292026.0,0.0,Olark Chat,1,0,0.0,Other Cities of Maharashtra,API,Email Opened,Modified,2,Tiede,59.12654383478437,0.0,warm,1,tabular_000068
57,3892.0,Unemployed,Appartement,272925.0,0.0,Olark Chat,0,0,0.0,Select,API,View in browser link Clicked,Modified,1,Froid,70.12461459403906,0.0,cold,0,tabular_000069
70,4731.0,Unemployed,Villa,257210.0,0.0,Olark Chat,0,0,0.0,Select,API,Olark Chat Conversation,Modified,1,Froid,54.36694145001057,0.0,cold,0,tabular_000070
41,4097.0,Unemployed,Villa,256671.0,1.0,Direct Traffic,0,1710,1.0,Thane & Outskirts,Landing Page Submission,Converted to Lead,Modified,2,Tiede,62.64852330973884,4.220000000000001,warm,1,tabular_000071
43,4367.0,Unemployed,Maison,208460.0,4.0,Direct Traffic,0,219,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,47.73528738264255,3.638,warm,1,tabular_000072
77,4088.0,Unemployed,Villa,459908.0,3.0,Referral Sites,0,111,3.0,Other Metro Cities,Landing Page Submission,Email Bounced,Modified,1,Froid,112.50195694716244,2.622,cold,0,tabular_000073
58,3691.0,Unemployed,Maison,283920.0,6.0,Organic Search,0,224,6.0,Select,API,Page Visited on Website,Modified,3,Tiede,76.92224329450013,5.248,warm,1,tabular_000074
46,8135.0,Unknown,Terrain,326300.0,5.0,Direct Traffic,0,224,1.67,Other Cities of Maharashtra,Landing Page Submission,Page Visited on Website,Page Visited on Website,3,Tiede,40.11063306699447,3.449,warm,1,tabular_000075
32,2500.0,Unemployed,Maison,200000.0,2.0,Direct Traffic,1,1071,2.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,3,Tiede,80.0,3.742,warm,1,tabular_000076
62,12382.0,Working Professional,Studio,969228.0,6.0,Google,1,595,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,5,Chaud,78.2771765465999,5.09,hot,2,tabular_000077
82,3892.0,Unemployed,Studio,353552.0,3.0,Welingak Website,1,1096,2.0,Select,Lead Add Form,Unknown,Modified,3,Tiede,90.84069886947584,4.292,warm,1,tabular_000078
88,4840.0,Unemployed,Studio,366230.0,4.0,Referral Sites,0,520,4.0,Mumbai,API,Email Opened,Email Opened,2,Tiede,75.66735537190083,4.24,warm,1,tabular_000079
26,13243.0,Working Professional,Studio,990970.0,3.0,Reference,1,705,2.0,Thane & Outskirts,Lead Add Form,Unknown,Modified,3,Tiede,74.82972136222911,3.51,warm,1,tabular_000080
18,3296.0,Unemployed,Studio,461187.0,2.0,Google,0,393,2.0,Select,API,Email Opened,Email Opened,0,Froid,139.92324029126215,2.386,cold,0,tabular_000081
25,2500.0,Unemployed,Studio,420716.0,3.0,Welingak Website,1,346,2.0,Select,Lead Add Form,Unknown,Modified,1,Froid,168.2864,2.7920000000000003,cold,0,tabular_000082
80,12716.0,Working Professional,Studio,921680.0,0.0,Olark Chat,1,0,0.0,Select,API,Email Link Clicked,Email Link Clicked,3,Tiede,72.48191255111671,0.0,warm,1,tabular_000083
28,7262.0,Unknown,Studio,1021554.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,0,Froid,140.67116496832827,0.0,cold,0,tabular_000084
25,3580.0,Unemployed,Studio,271458.0,3.0,Google,1,1136,3.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,4,Chaud,75.82625698324023,4.672,hot,2,tabular_000085
52,2500.0,Unemployed,Terrain,168256.0,3.0,Referral Sites,0,335,3.0,Select,API,Email Opened,Modified,2,Tiede,67.3024,3.07,warm,1,tabular_000086
52,4785.0,Unemployed,Studio,249000.0,4.0,Referral Sites,0,75,4.0,Select,API,Email Opened,Email Opened,2,Tiede,52.03761755485893,3.35,warm,1,tabular_000087
50,7085.0,Unknown,Maison,328706.0,6.0,Direct Traffic,0,97,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,46.394636556104444,4.094,warm,1,tabular_000088
22,2963.0,Unemployed,Terrain,304073.0,3.0,Reference,1,1007,2.0,Mumbai,Lead Add Form,Unknown,Modified,2,Tiede,102.62335470806616,4.114000000000001,warm,1,tabular_000089
58,3940.0,Unemployed,Villa,218127.0,2.0,Organic Search,0,1085,2.0,Other Cities of Maharashtra,Landing Page Submission,Converted to Lead,Modified,2,Tiede,55.362182741116754,3.77,warm,1,tabular_000090
45,2500.0,Unemployed,Appartement,203214.0,3.0,Organic Search,0,214,3.0,Select,API,Page Visited on Website,Modified,2,Tiede,81.2856,2.828,warm,1,tabular_000091
24,2500.0,Unemployed,Terrain,267500.0,6.0,Olark Chat,1,1158,1.5,Other Cities,API,Email Opened,Email Opened,3,Tiede,107.0,5.766,warm,1,tabular_000092
90,6445.0,Unknown,Studio,330658.0,4.0,Google,0,101,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,51.30457719162141,3.402,warm,1,tabular_000093
89,8600.0,Unknown,Terrain,598480.0,9.0,Google,0,838,4.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,69.5906976744186,7.526,hot,2,tabular_000094
29,3586.0,Unemployed,Appartement,287500.0,3.0,Direct Traffic,0,536,3.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,80.1728945900725,3.472,warm,1,tabular_000095
51,3135.0,Unemployed,Appartement,423687.0,4.0,Direct Traffic,0,161,2.0,Select,Landing Page Submission,Unreachable,Unreachable,0,Froid,135.14736842105262,2.922,cold,0,tabular_000096
50,4744.0,Unemployed,Studio,170000.0,2.0,Google,0,511,2.0,Mumbai,Landing Page Submission,Form Submitted on Website,Modified,1,Froid,35.83473861720068,2.622,cold,0,tabular_000097
65,2540.0,Unemployed,Studio,503568.0,0.0,Olark Chat,0,0,0.0,Select,API,Olark Chat Conversation,Modified,0,Froid,198.25511811023625,0.0,cold,0,tabular_000098
40,13509.61,Working Professional,Maison,843535.0,5.0,Google,1,1110,5.0,Select,API,Olark Chat Conversation,Modified,6,Chaud,62.43962631045604,6.220000000000001,hot,2,tabular_000099
79,3773.0,Unemployed,Appartement,274725.0,5.0,Direct Traffic,1,1563,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,5,Chaud,72.8134110787172,7.126,hot,2,tabular_000100
54,3614.0,Unemployed,Studio,286824.0,7.0,Referral Sites,0,1633,3.5,Select,API,Converted to Lead,Modified,4,Chaud,79.36469286109573,7.816,hot,2,tabular_000101
61,4768.0,Unemployed,Appartement,199836.0,0.0,Olark Chat,1,0,0.0,Select,API,Email Opened,Modified,2,Tiede,41.91191275167785,0.0,warm,1,tabular_000102
52,7177.0,Unknown,Maison,834967.0,12.0,Google,0,809,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,116.33927824996516,8.818,warm,1,tabular_000103
82,4382.0,Unemployed,Villa,147500.0,2.0,Direct Traffic,0,638,2.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,1,Froid,33.66042902784117,2.8760000000000003,cold,0,tabular_000104
64,4594.0,Unemployed,Appartement,175000.0,5.0,Google,1,1196,5.0,Select,API,Page Visited on Website,Modified,5,Chaud,38.09316499782325,6.392,hot,2,tabular_000105
20,2500.0,Unemployed,Maison,221536.0,6.0,Organic Search,0,1485,6.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,4,Chaud,88.6144,7.77,hot,2,tabular_000106
18,7277.0,Unknown,Maison,402624.0,9.0,Google,0,125,3.0,Unknown,API,Page Visited on Website,Modified,3,Tiede,55.32829462690669,5.65,warm,1,tabular_000107
22,3784.0,Unemployed,Maison,218312.0,3.0,Google,1,165,3.0,Select,API,Olark Chat Conversation,Modified,3,Tiede,57.69344608879493,2.73,warm,1,tabular_000108
31,6456.0,Unknown,Terrain,582459.0,6.0,Google,0,398,3.0,Mumbai,Landing Page Submission,Olark Chat Conversation,Olark Chat Conversation,3,Tiede,90.21979553903346,4.696,warm,1,tabular_000109
44,8466.0,Unknown,Studio,680680.0,3.0,Organic Search,0,570,3.0,Unknown,API,Converted to Lead,Modified,3,Tiede,80.40160642570281,3.54,warm,1,tabular_000110
26,3089.0,Unemployed,Appartement,135000.0,6.0,Organic Search,1,895,6.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,4,Chaud,43.70346390417611,6.59,hot,2,tabular_000111
32,2661.0,Unemployed,Terrain,185000.0,4.0,Google,1,1190,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,69.5227358136039,5.58,hot,2,tabular_000112
59,13020.0,Working Professional,Appartement,1383113.0800000003,0.0,Reference,1,0,0.0,Select,Lead Add Form,Email Link Clicked,Email Link Clicked,2,Tiede,106.22988325652844,0.0,warm,1,tabular_000113
68,3368.0,Unemployed,Terrain,302840.0,5.0,Direct Traffic,0,1566,5.0,Select,API,Converted to Lead,Modified,4,Chaud,89.91686460807601,7.132,hot,2,tabular_000114
80,2500.0,Unemployed,Studio,359762.0,5.0,Google,1,727,5.0,Thane & Outskirts,API,Email Opened,Email Opened,3,Tiede,143.9048,5.454,warm,1,tabular_000115
69,3133.0,Unemployed,Maison,145000.0,8.0,Google,0,652,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,3,Tiede,46.28151931056495,6.504,warm,1,tabular_000116
21,6194.0,Unknown,Appartement,476012.0,4.0,Organic Search,0,1248,1.33,Unknown,API,Email Opened,Email Opened,2,Tiede,76.85050048433969,4.8950000000000005,warm,1,tabular_000117
40,4800.0,Unemployed,Maison,169153.0,2.0,Google,0,767,2.0,Select,API,Email Opened,Modified,1,Froid,35.240208333333335,3.1340000000000003,cold,0,tabular_000118
32,2500.0,Unemployed,Studio,294372.0,10.0,Referral Sites,0,275,3.33,Select,API,Page Visited on Website,Page Visited on Website,2,Tiede,117.7488,6.549,warm,1,tabular_000119
60,4145.0,Unemployed,Appartement,384443.0,3.0,Organic Search,0,273,3.0,Select,API,Converted to Lead,Modified,2,Tiede,92.74861278648974,2.946,warm,1,tabular_000120
46,11267.0,Working Professional,Villa,897260.0,3.0,Reference,1,1111,2.0,Other Cities,Lead Add Form,Unknown,Modified,4,Chaud,79.63610544066744,4.322,hot,2,tabular_000121
53,8433.0,Unknown,Villa,608565.0,8.0,Google,0,277,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,72.1647100675916,5.754,hot,2,tabular_000122
30,4108.0,Unemployed,Villa,254870.0,3.0,Organic Search,1,1207,1.5,Select,API,Olark Chat Conversation,Modified,3,Tiede,62.042356377799415,4.364,warm,1,tabular_000123
49,8772.0,Unknown,Studio,426368.0,2.0,Google,0,39,1.0,Unknown,API,Converted to Lead,Modified,2,Tiede,48.60556315549476,1.378,warm,1,tabular_000124
88,3471.0,Unemployed,Villa,290112.0,4.0,Google,0,1638,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,83.58167675021608,6.476,warm,1,tabular_000125
76,7805.0,Unknown,Appartement,765160.0,16.0,Referral Sites,0,53,16.0,Unknown,API,Olark Chat Conversation,Modified,3,Tiede,98.0345932094811,12.906,warm,1,tabular_000126
45,3003.0,Unemployed,Villa,135000.0,1.0,Direct Traffic,0,127,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,1,Froid,44.95504495504496,1.054,cold,0,tabular_000127
83,4749.0,Unemployed,Appartement,326196.0,5.0,Organic Search,0,100,5.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,3,Tiede,68.68730259001894,4.2,warm,1,tabular_000128
59,8304.0,Unknown,Studio,680570.0,4.0,Google,0,323,4.0,Mumbai,Landing Page Submission,Unsubscribed,Unsubscribed,3,Tiede,81.95688824662813,3.846,warm,1,tabular_000129
62,2500.0,Unemployed,Maison,425796.0,2.0,Google,1,160,1.0,Select,API,Olark Chat Conversation,Modified,1,Froid,170.3184,1.62,cold,0,tabular_000130
79,13509.61,Working Professional,Terrain,1215216.0,0.0,Reference,1,0,0.0,Select,Lead Add Form,Email Opened,Modified,3,Tiede,89.95196752533937,0.0,warm,1,tabular_000131
74,4742.0,Unemployed,Villa,306528.0,1.0,Google,0,263,1.0,Select,API,Converted to Lead,Modified,1,Froid,64.64107971320118,1.326,cold,0,tabular_000132
23,3368.0,Unemployed,Terrain,381578.0,2.0,Google,0,1218,2.0,Select,API,Olark Chat Conversation,Modified,1,Froid,113.29513064133016,4.036,cold,0,tabular_000133
45,12171.0,Working Professional,Maison,1288675.0,3.0,Reference,1,986,2.0,Select,Lead Add Form,Unknown,Modified,2,Tiede,105.88078218716622,4.072,warm,1,tabular_000134
45,2582.0,Unemployed,Studio,243984.0,3.0,Welingak Website,1,889,2.0,Select,Lead Add Form,Unknown,Modified,2,Tiede,94.49419054996127,3.878,warm,1,tabular_000135
61,3228.0,Unemployed,Studio,441504.0,5.0,Google,1,1091,5.0,Mumbai,Landing Page Submission,Unreachable,Unreachable,4,Chaud,136.7732342007435,6.182,hot,2,tabular_000136
47,7807.0,Unknown,Maison,775882.0,4.0,Direct Traffic,0,291,4.0,Other Cities,Landing Page Submission,Olark Chat Conversation,Modified,2,Tiede,99.3828615345203,3.782,warm,1,tabular_000137
79,4944.0,Unemployed,Terrain,182500.0,0.0,Reference,1,0,0.0,Thane & Outskirts,Lead Add Form,Email Opened,Modified,2,Tiede,36.913430420711975,0.0,warm,1,tabular_000138
79,3496.0,Unemployed,Villa,221958.0,1.0,Google,0,1759,1.0,Select,API,Olark Chat Conversation,Olark Chat Conversation,2,Tiede,63.48913043478261,4.3180000000000005,warm,1,tabular_000139
18,7642.0,Unknown,Appartement,596505.0,7.0,Referral Sites,0,41,3.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,78.05613713687517,4.632,warm,1,tabular_000140
44,2648.0,Unemployed,Studio,505901.0,5.0,Google,0,386,5.0,Thane & Outskirts,Landing Page Submission,Email Opened,Modified,2,Tiede,191.05022658610272,4.772,warm,1,tabular_000141
79,7588.0,Unknown,Maison,662508.0,6.0,Referral Sites,0,216,2.0,Unknown,API,Page Visited on Website,Page Visited on Website,2,Tiede,87.30996309963099,4.032,warm,1,tabular_000142
20,3414.0,Unemployed,Terrain,457281.0,5.0,Google,1,1603,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,133.94288224956065,7.206,hot,2,tabular_000143
87,5753.0,Unknown,Villa,678226.0,7.0,google,0,106,3.5,Other Cities,Landing Page Submission,Page Visited on Website,Modified,2,Tiede,117.89083956196768,4.762,warm,1,tabular_000144
89,2500.0,Unemployed,Terrain,304458.0,2.0,Google,0,73,2.0,Select,API,Unreachable,Modified,0,Froid,121.7832,1.746,cold,0,tabular_000145
