Age,Salaire_Mensuel,Profession,Type_de_Bien,Budget_Cible,Nb_Visites_Site,Source_Lead,Target,Total Time Spent on Website,Page Views Per Visit,City,Lead Origin,Last Activity,Last Notable Activity,Score_Lead,Target_Multiclasse,Ratio_Budget_Salaire,Score_Engagement
55,3974.0,Unemployed,Villa,253470.0,8.0,Direct Traffic,1,1343,2.67,Thane & Outskirts,Landing Page Submission,Page Visited on Website,Page Visited on Website,4,Chaud,63.78208354302969,7.487
19,4630.0,Unemployed,Appartement,196290.0,11.0,Organic Search,1,1538,11.0,Select,API,Email Opened,Modified,5,Chaud,42.39524838012959,11.876000000000001
81,2500.0,Unemployed,Maison,469680.0,5.0,Organic Search,0,170,5.0,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,2,Tiede,187.872,4.34
77,4043.0,Unemployed,Studio,471771.0,1.0,Direct Traffic,0,481,1.0,Select,Landing Page Submission,Email Bounced,Email Bounced,0,Froid,116.68835023497402,1.762
38,4208.0,Unemployed,Maison,433062.0,6.0,Organic Search,1,1012,6.0,Select,API,Email Opened,Email Opened,4,Chaud,102.91397338403041,6.824
50,6801.0,Unknown,Studio,309650.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,45.530069107484195,0.0
75,4836.0,Unemployed,Studio,187915.0,6.0,Referral Sites,0,973,6.0,Select,API,Email Link Clicked,Modified,3,Tiede,38.85752688172043,6.746
39,3556.0,Unemployed,Terrain,351360.0,6.0,Google,1,1688,3.0,Mumbai,Landing Page Submission,Page Visited on Website,Page Visited on Website,5,Chaud,98.80764904386952,7.276
66,2500.0,Unemployed,Maison,165000.0,3.0,Organic Search,0,98,3.0,Select,API,Page Visited on Website,Modified,2,Tiede,66.0,2.596
76,3318.0,Unemployed,Villa,361863.0,1.0,Google,0,233,1.0,Mumbai,Landing Page Submission,Unreachable,Modified,0,Froid,109.06057866184449,1.266
59,2500.0,Unemployed,Studio,271350.0,4.0,Google,0,377,1.33,Select,API,Page Visited on Website,Modified,0,Froid,108.54,3.153
77,4487.0,Unemployed,Terrain,319040.0,1.0,Google,1,1013,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,3,Tiede,71.10318698462224,2.8260000000000005
32,2531.0,Unemployed,Villa,404829.0,4.0,Google,0,771,4.0,Mumbai,Landing Page Submission,Email Link Clicked,Email Link Clicked,1,Froid,159.94824180165944,4.742
79,2500.0,Unemployed,Maison,420831.0,6.0,Google,1,1137,1.5,Mumbai,API,Email Opened,Email Opened,3,Tiede,168.3324,5.724
79,3437.0,Unemployed,Villa,268785.0,3.0,Google,1,1068,3.0,Mumbai,Landing Page Submission,Form Submitted on Website,Modified,4,Chaud,78.20337503636893,4.536
64,3160.0,Unemployed,Maison,252500.0,4.0,Organic Search,1,1000,2.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,3,Tiede,79.90506329113924,4.6
79,2646.0,Unemployed,Studio,455056.0,6.0,Google,1,1315,6.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,171.97883597883597,7.43
68,3556.0,Student,Appartement,431028.0,5.0,Direct Traffic,0,182,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,121.21147356580427,4.364
72,3036.0,Unemployed,Appartement,280000.0,3.0,Google,1,78,3.0,Mumbai,API,Unreachable,Unreachable,3,Tiede,92.2266139657444,2.556
81,2500.0,Unemployed,Studio,522695.0,7.0,Direct Traffic,1,1174,3.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,209.078,6.898
20,4065.0,Unemployed,Villa,180000.0,3.0,Google,0,88,1.5,Select,API,Email Opened,Modified,1,Froid,44.28044280442804,2.126
68,3332.0,Unemployed,Maison,353400.0,4.0,Referral Sites,0,223,2.0,Select,API,Page Visited on Website,Modified,0,Froid,106.062424969988,3.0460000000000003
24,8064.0,Unknown,Appartement,580971.0,3.0,Organic Search,0,74,1.5,Unknown,API,Email Opened,Modified,2,Tiede,72.04501488095238,2.098
38,2500.0,Unemployed,Maison,444804.0,4.0,Organic Search,1,16,2.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,1,Froid,177.9216,2.632
90,2500.0,Unemployed,Studio,290000.0,3.0,Referral Sites,1,98,3.0,Thane & Outskirts,API,Email Opened,Modified,2,Tiede,116.0,2.596
56,4397.0,Unemployed,Villa,198814.0,4.0,Google,0,1622,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,3,Tiede,45.215828974300656,6.444
35,11332.0,Working Professional,Maison,1383113.0800000003,5.0,Google,1,563,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,122.05374867631488,5.126
21,3886.0,Unemployed,Villa,237649.0,2.0,Google,0,310,2.0,Select,API,Email Link Clicked,Email Link Clicked,1,Froid,61.1551724137931,2.22
77,2961.0,Unemployed,Appartement,322772.0,4.0,Google,1,25,4.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,2,Tiede,109.00776764606552,3.25
31,2659.0,Unemployed,Maison,250000.0,3.0,Direct Traffic,0,342,3.0,Select,API,Email Opened,Email Opened,2,Tiede,94.0203083866115,3.084
26,2500.0,Unemployed,Terrain,360354.0,7.0,Organic Search,0,38,7.0,Mumbai,Landing Page Submission,Unsubscribed,Unsubscribed,2,Tiede,144.1416,5.675999999999999
70,3541.0,Unemployed,Appartement,245000.0,5.0,Google,0,199,5.0,Select,API,Email Opened,Email Opened,3,Tiede,69.18949449308106,4.398
19,8596.0,Unknown,Villa,544320.0,5.0,Google,0,222,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,63.32247557003257,4.444
77,4053.0,Unemployed,Studio,495378.0,6.0,Direct Traffic,0,275,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,122.22501850481125,4.45
88,2848.0,Unemployed,Terrain,288320.0,4.0,Google,0,287,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,0,Froid,101.23595505617978,3.1740000000000004
61,3218.0,Unemployed,Maison,250000.0,2.0,Direct Traffic,0,547,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,1,Froid,77.68800497203232,2.694
25,6179.0,Unknown,Appartement,717703.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,0,Froid,116.15196633759508,0.0
64,4909.0,Unemployed,Maison,138350.0,6.0,Google,0,1225,6.0,Thane & Outskirts,API,Page Visited on Website,Modified,4,Chaud,28.182929313505806,7.25
52,6189.0,Unknown,Maison,469224.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,1,Froid,75.81580222976248,0.0
53,4432.0,Unemployed,Terrain,308856.0,0.0,Olark Chat,1,0,0.0,Thane & Outskirts,API,Email Opened,Modified,2,Tiede,69.68772563176896,0.0
67,4666.0,Unemployed,Terrain,376160.0,5.0,Google,0,160,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,80.61723103300471,4.32
21,3068.0,Unemployed,Terrain,167500.0,6.0,Organic Search,0,394,2.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,54.595827900912646,4.388
19,8170.0,Unknown,Terrain,461648.0,6.0,Google,0,286,1.5,Unknown,API,Olark Chat Conversation,Modified,3,Tiede,56.50526315789474,4.022
23,6669.0,Unknown,Studio,813636.0,7.0,Organic Search,0,96,2.33,Unknown,API,Email Opened,Email Opened,1,Froid,122.00269905533064,4.391
71,2500.0,Unemployed,Villa,293406.0,2.0,Organic Search,0,12,2.0,Select,API,Email Opened,Email Opened,0,Froid,117.3624,1.624
21,2500.0,Unemployed,Terrain,156632.0,13.0,Referral Sites,1,436,13.0,Other Metro Cities,Landing Page Submission,Form Submitted on Website,Modified,4,Chaud,62.6528,11.272
71,2754.0,Unemployed,Appartement,204620.0,8.0,Referral Sites,1,903,8.0,Other Cities of Maharashtra,API,Page Visited on Website,Page Visited on Website,4,Chaud,74.29920116194626,8.206
80,2500.0,Unemployed,Maison,280000.0,17.0,Organic Search,0,409,8.5,Mumbai,Landing Page Submission,Email Opened,Modified,2,Tiede,112.0,11.868
35,3546.0,Unemployed,Terrain,212465.0,11.0,Referral Sites,0,685,5.5,Thane & Outskirts,Landing Page Submission,Email Opened,Email Opened,3,Tiede,59.91680767061478,8.52
61,3371.0,Unemployed,Appartement,227904.0,4.0,Google,0,213,4.0,Mumbai,API,Form Submitted on Website,Modified,2,Tiede,67.60723820824681,3.6260000000000003
51,2500.0,Unemployed,Studio,300000.0,0.0,Olark Chat,0,0,0.0,Select,API,Email Opened,Email Opened,0,Froid,120.0,0.0
79,4609.0,Unemployed,Appartement,325772.0,7.0,Organic Search,1,1468,3.5,Mumbai,API,Page Visited on Website,Modified,5,Chaud,70.68170969841614,7.486
31,8996.0,Unknown,Appartement,557708.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Email Link Clicked,Modified,2,Tiede,61.99510893730547,0.0
65,11246.0,Working Professional,Studio,988107.0,4.0,Direct Traffic,1,1435,4.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,5,Chaud,87.8629735016895,6.07
32,3984.0,Unemployed,Studio,452320.0,1.0,Google,1,157,1.0,Other Cities of Maharashtra,Landing Page Submission,Converted to Lead,Modified,1,Froid,113.53413654618474,1.114
89,3354.0,Unemployed,Maison,488950.0,3.0,Google,1,885,1.5,Mumbai,API,Had a Phone Conversation,Had a Phone Conversation,1,Froid,145.78115682766847,3.7199999999999998
79,4939.0,Unemployed,Terrain,292026.0,0.0,Olark Chat,1,0,0.0,Other Cities of Maharashtra,API,Email Opened,Modified,2,Tiede,59.12654383478437,0.0
57,3892.0,Unemployed,Appartement,272925.0,0.0,Olark Chat,0,0,0.0,Select,API,View in browser link Clicked,Modified,1,Froid,70.12461459403906,0.0
70,4731.0,Unemployed,Villa,257210.0,0.0,Olark Chat,0,0,0.0,Select,API,Olark Chat Conversation,Modified,1,Froid,54.36694145001057,0.0
41,4097.0,Unemployed,Villa,256671.0,1.0,Direct Traffic,0,1710,1.0,Thane & Outskirts,Landing Page Submission,Converted to Lead,Modified,2,Tiede,62.648523309738835,4.220000000000001
43,4367.0,Unemployed,Maison,208460.0,4.0,Direct Traffic,0,219,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,47.73528738264255,3.6380000000000003
77,4088.0,Unemployed,Villa,459908.0,3.0,Referral Sites,0,111,3.0,Other Metro Cities,Landing Page Submission,Email Bounced,Modified,1,Froid,112.50195694716243,2.622
58,3691.0,Unemployed,Maison,283920.0,6.0,Organic Search,0,224,6.0,Select,API,Page Visited on Website,Modified,3,Tiede,76.92224329450013,5.248
46,8135.0,Unknown,Terrain,326300.0,5.0,Direct Traffic,0,224,1.67,Other Cities of Maharashtra,Landing Page Submission,Page Visited on Website,Page Visited on Website,3,Tiede,40.11063306699447,3.449
32,2500.0,Unemployed,Maison,200000.0,2.0,Direct Traffic,1,1071,2.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,3,Tiede,80.0,3.7420000000000004
62,12382.0,Working Professional,Studio,969228.0,6.0,Google,1,595,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,5,Chaud,78.2771765465999,5.09
82,3892.0,Unemployed,Studio,353552.0,3.0,Welingak Website,1,1096,2.0,Select,Lead Add Form,Unknown,Modified,3,Tiede,90.84069886947584,4.292
88,4840.0,Unemployed,Studio,366230.0,4.0,Referral Sites,0,520,4.0,Mumbai,API,Email Opened,Email Opened,2,Tiede,75.66735537190083,4.24
26,13243.0,Working Professional,Studio,990970.0,3.0,Reference,1,705,2.0,Thane & Outskirts,Lead Add Form,Unknown,Modified,3,Tiede,74.82972136222911,3.5100000000000002
18,3296.0,Unemployed,Studio,461187.0,2.0,Google,0,393,2.0,Select,API,Email Opened,Email Opened,0,Froid,139.92324029126215,2.386
25,2500.0,Unemployed,Studio,420716.0,3.0,Welingak Website,1,346,2.0,Select,Lead Add Form,Unknown,Modified,1,Froid,168.2864,2.7920000000000003
80,12716.0,Working Professional,Studio,921680.0,0.0,Olark Chat,1,0,0.0,Select,API,Email Link Clicked,Email Link Clicked,3,Tiede,72.48191255111671,0.0
28,7262.0,Unknown,Studio,1021554.0,0.0,Olark Chat,0,0,0.0,Unknown,API,Olark Chat Conversation,Modified,0,Froid,140.67116496832827,0.0
25,3580.0,Unemployed,Studio,271458.0,3.0,Google,1,1136,3.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,4,Chaud,75.82625698324023,4.672
52,2500.0,Unemployed,Terrain,168256.0,3.0,Referral Sites,0,335,3.0,Select,API,Email Opened,Modified,2,Tiede,67.3024,3.07
52,4785.0,Unemployed,Studio,249000.0,4.0,Referral Sites,0,75,4.0,Select,API,Email Opened,Email Opened,2,Tiede,52.03761755485893,3.35
50,7085.0,Unknown,Maison,328706.0,6.0,Direct Traffic,0,97,3.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,46.394636556104444,4.094
22,2963.0,Unemployed,Terrain,304073.0,3.0,Reference,1,1007,2.0,Mumbai,Lead Add Form,Unknown,Modified,2,Tiede,102.62335470806615,4.114000000000001
58,3940.0,Unemployed,Villa,218127.0,2.0,Organic Search,0,1085,2.0,Other Cities of Maharashtra,Landing Page Submission,Converted to Lead,Modified,2,Tiede,55.362182741116754,3.77
45,2500.0,Unemployed,Appartement,203214.0,3.0,Organic Search,0,214,3.0,Select,API,Page Visited on Website,Modified,2,Tiede,81.2856,2.828
24,2500.0,Unemployed,Terrain,267500.0,6.0,Olark Chat,1,1158,1.5,Other Cities,API,Email Opened,Email Opened,3,Tiede,107.0,5.766
90,6445.0,Unknown,Studio,330658.0,4.0,Google,0,101,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,2,Tiede,51.30457719162141,3.402
89,8600.0,Unknown,Terrain,598480.0,9.0,Google,0,838,4.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,69.5906976744186,7.526
29,3586.0,Unemployed,Appartement,287500.0,3.0,Direct Traffic,0,536,3.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,80.1728945900725,3.472
51,3135.0,Unemployed,Appartement,423687.0,4.0,Direct Traffic,0,161,2.0,Select,Landing Page Submission,Unreachable,Unreachable,0,Froid,135.14736842105262,2.922
50,4744.0,Unemployed,Studio,170000.0,2.0,Google,0,511,2.0,Mumbai,Landing Page Submission,Form Submitted on Website,Modified,1,Froid,35.83473861720068,2.622
65,2540.0,Unemployed,Studio,503568.0,0.0,Olark Chat,0,0,0.0,Select,API,Olark Chat Conversation,Modified,0,Froid,198.25511811023622,0.0
40,13509.61,Working Professional,Maison,843535.0,5.0,Google,1,1110,5.0,Select,API,Olark Chat Conversation,Modified,6,Chaud,62.439626310456035,6.220000000000001
79,3773.0,Unemployed,Appartement,274725.0,5.0,Direct Traffic,1,1563,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,5,Chaud,72.8134110787172,7.126
54,3614.0,Unemployed,Studio,286824.0,7.0,Referral Sites,0,1633,3.5,Select,API,Converted to Lead,Modified,4,Chaud,79.36469286109573,7.816
61,4768.0,Unemployed,Appartement,199836.0,0.0,Olark Chat,1,0,0.0,Select,API,Email Opened,Modified,2,Tiede,41.91191275167785,0.0
52,7177.0,Unknown,Maison,834967.0,12.0,Google,0,809,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,2,Tiede,116.33927824996516,8.818
82,4382.0,Unemployed,Villa,147500.0,2.0,Direct Traffic,0,638,2.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,1,Froid,33.66042902784117,2.8760000000000003
64,4594.0,Unemployed,Appartement,175000.0,5.0,Google,1,1196,5.0,Select,API,Page Visited on Website,Modified,5,Chaud,38.093164997823244,6.392
20,2500.0,Unemployed,Maison,221536.0,6.0,Organic Search,0,1485,6.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,4,Chaud,88.6144,7.77
18,7277.0,Unknown,Maison,402624.0,9.0,Google,0,125,3.0,Unknown,API,Page Visited on Website,Modified,3,Tiede,55.32829462690669,5.65
22,3784.0,Unemployed,Maison,218312.0,3.0,Google,1,165,3.0,Select,API,Olark Chat Conversation,Modified,3,Tiede,57.69344608879493,2.73
31,6456.0,Unknown,Terrain,582459.0,6.0,Google,0,398,3.0,Mumbai,Landing Page Submission,Olark Chat Conversation,Olark Chat Conversation,3,Tiede,90.21979553903346,4.696
44,8466.0,Unknown,Studio,680680.0,3.0,Organic Search,0,570,3.0,Unknown,API,Converted to Lead,Modified,3,Tiede,80.40160642570281,3.54
26,3089.0,Unemployed,Appartement,135000.0,6.0,Organic Search,1,895,6.0,Other Cities of Maharashtra,Landing Page Submission,Email Opened,Email Opened,4,Chaud,43.70346390417611,6.59
32,2661.0,Unemployed,Terrain,185000.0,4.0,Google,1,1190,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,69.5227358136039,5.58
59,13020.0,Working Professional,Appartement,1383113.0800000003,0.0,Reference,1,0,0.0,Select,Lead Add Form,Email Link Clicked,Email Link Clicked,2,Tiede,106.22988325652844,0.0
68,3368.0,Unemployed,Terrain,302840.0,5.0,Direct Traffic,0,1566,5.0,Select,API,Converted to Lead,Modified,4,Chaud,89.91686460807601,7.132
80,2500.0,Unemployed,Studio,359762.0,5.0,Google,1,727,5.0,Thane & Outskirts,API,Email Opened,Email Opened,3,Tiede,143.9048,5.454
69,3133.0,Unemployed,Maison,145000.0,8.0,Google,0,652,4.0,Mumbai,Landing Page Submission,Unreachable,Modified,3,Tiede,46.28151931056495,6.5040000000000004
21,6194.0,Unknown,Appartement,476012.0,4.0,Organic Search,0,1248,1.33,Unknown,API,Email Opened,Email Opened,2,Tiede,76.85050048433969,4.8950000000000005
40,4800.0,Unemployed,Maison,169153.0,2.0,Google,0,767,2.0,Select,API,Email Opened,Modified,1,Froid,35.240208333333335,3.1340000000000003
32,2500.0,Unemployed,Studio,294372.0,10.0,Referral Sites,0,275,3.33,Select,API,Page Visited on Website,Page Visited on Website,2,Tiede,117.7488,6.5489999999999995
60,4145.0,Unemployed,Appartement,384443.0,3.0,Organic Search,0,273,3.0,Select,API,Converted to Lead,Modified,2,Tiede,92.74861278648974,2.9459999999999997
46,11267.0,Working Professional,Villa,897260.0,3.0,Reference,1,1111,2.0,Other Cities,Lead Add Form,Unknown,Modified,4,Chaud,79.63610544066744,4.322
53,8433.0,Unknown,Villa,608565.0,8.0,Google,0,277,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,72.1647100675916,5.7540000000000004
30,4108.0,Unemployed,Villa,254870.0,3.0,Organic Search,1,1207,1.5,Select,API,Olark Chat Conversation,Modified,3,Tiede,62.042356377799415,4.364
49,8772.0,Unknown,Studio,426368.0,2.0,Google,0,39,1.0,Unknown,API,Converted to Lead,Modified,2,Tiede,48.60556315549476,1.3780000000000001
88,3471.0,Unemployed,Villa,290112.0,4.0,Google,0,1638,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,83.58167675021608,6.476
76,7805.0,Unknown,Appartement,765160.0,16.0,Referral Sites,0,53,16.0,Unknown,API,Olark Chat Conversation,Modified,3,Tiede,98.0345932094811,12.906
45,3003.0,Unemployed,Villa,135000.0,1.0,Direct Traffic,0,127,1.0,Mumbai,Landing Page Submission,Converted to Lead,Modified,1,Froid,44.955044955044954,1.054
83,4749.0,Unemployed,Appartement,326196.0,5.0,Organic Search,0,100,5.0,Mumbai,Landing Page Submission,Page Visited on Website,Modified,3,Tiede,68.68730259001894,4.2
59,8304.0,Unknown,Studio,680570.0,4.0,Google,0,323,4.0,Mumbai,Landing Page Submission,Unsubscribed,Unsubscribed,3,Tiede,81.95688824662813,3.846
62,2500.0,Unemployed,Maison,425796.0,2.0,Google,1,160,1.0,Select,API,Olark Chat Conversation,Modified,1,Froid,170.3184,1.62
79,13509.61,Working Professional,Terrain,1215216.0,0.0,Reference,1,0,0.0,Select,Lead Add Form,Email Opened,Modified,3,Tiede,89.95196752533937,0.0
74,4742.0,Unemployed,Villa,306528.0,1.0,Google,0,263,1.0,Select,API,Converted to Lead,Modified,1,Froid,64.64107971320118,1.326
23,3368.0,Unemployed,Terrain,381578.0,2.0,Google,0,1218,2.0,Select,API,Olark Chat Conversation,Modified,1,Froid,113.29513064133016,4.036
45,12171.0,Working Professional,Maison,1288675.0,3.0,Reference,1,986,2.0,Select,Lead Add Form,Unknown,Modified,2,Tiede,105.88078218716622,4.072
45,2582.0,Unemployed,Studio,243984.0,3.0,Welingak Website,1,889,2.0,Select,Lead Add Form,Unknown,Modified,2,Tiede,94.49419054996127,3.878
61,3228.0,Unemployed,Studio,441504.0,5.0,Google,1,1091,5.0,Mumbai,Landing Page Submission,Unreachable,Unreachable,4,Chaud,136.7732342007435,6.182
47,7807.0,Unknown,Maison,775882.0,4.0,Direct Traffic,0,291,4.0,Other Cities,Landing Page Submission,Olark Chat Conversation,Modified,2,Tiede,99.3828615345203,3.782
79,4944.0,Unemployed,Terrain,182500.0,0.0,Reference,1,0,0.0,Thane & Outskirts,Lead Add Form,Email Opened,Modified,2,Tiede,36.913430420711975,0.0
79,3496.0,Unemployed,Villa,221958.0,1.0,Google,0,1759,1.0,Select,API,Olark Chat Conversation,Olark Chat Conversation,2,Tiede,63.48913043478261,4.3180000000000005
18,7642.0,Unknown,Appartement,596505.0,7.0,Referral Sites,0,41,3.5,Mumbai,Landing Page Submission,Email Opened,Email Opened,3,Tiede,78.05613713687517,4.632
44,2648.0,Unemployed,Studio,505901.0,5.0,Google,0,386,5.0,Thane & Outskirts,Landing Page Submission,Email Opened,Modified,2,Tiede,191.05022658610272,4.772
79,7588.0,Unknown,Maison,662508.0,6.0,Referral Sites,0,216,2.0,Unknown,API,Page Visited on Website,Page Visited on Website,2,Tiede,87.30996309963099,4.032
20,3414.0,Unemployed,Terrain,457281.0,5.0,Google,1,1603,5.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,4,Chaud,133.94288224956063,7.206
87,5753.0,Unknown,Villa,678226.0,7.0,google,0,106,3.5,Other Cities,Landing Page Submission,Page Visited on Website,Modified,2,Tiede,117.89083956196767,4.762
89,2500.0,Unemployed,Terrain,304458.0,2.0,Google,0,73,2.0,Select,API,Unreachable,Modified,0,Froid,121.7832,1.746
44,4275.0,Unemployed,Villa,341355.0,2.0,Google,0,77,2.0,Select,API,Converted to Lead,Modified,1,Froid,79.84912280701755,1.754
26,7616.0,Unknown,Appartement,680832.0,3.0,Direct Traffic,0,718,3.0,Thane & Outskirts,Landing Page Submission,Unreachable,Modified,2,Tiede,89.39495798319328,3.836
79,8652.0,Unknown,Appartement,412884.0,5.0,Google,0,432,1.67,Mumbai,Landing Page Submission,Olark Chat Conversation,Olark Chat Conversation,3,Tiede,47.72122052704577,3.865
54,2500.0,Unemployed,Maison,435793.0,5.0,Google,0,232,2.5,Other Cities,Landing Page Submission,Email Opened,Email Opened,1,Froid,174.3172,3.714
68,4833.0,Unemployed,Maison,315735.0,2.0,Direct Traffic,0,702,2.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,1,Froid,65.32898820608318,3.004
61,2500.0,Unemployed,Villa,388843.0,5.0,Organic Search,1,614,5.0,Thane & Outskirts,Landing Page Submission,Unreachable,Unreachable,3,Tiede,155.5372,5.228
41,7438.0,Unknown,Villa,749420.0,1.0,Direct Traffic,1,1808,1.0,Thane & Outskirts,Landing Page Submission,Converted to Lead,Modified,2,Tiede,100.75557945684324,4.4159999999999995
76,4779.0,Unemployed,Villa,240000.0,2.0,Direct Traffic,0,234,1.0,Mumbai,Landing Page Submission,Email Bounced,Modified,1,Froid,50.21971123666039,1.768
49,2500.0,Unemployed,Villa,307840.0,3.0,Direct Traffic,0,245,3.0,Thane & Outskirts,Landing Page Submission,Unreachable,Modified,1,Froid,123.136,2.89
69,4381.0,Unemployed,Appartement,277605.0,8.0,Organic Search,1,1268,4.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,5,Chaud,63.36566993837023,7.736000000000001
79,2500.0,Unemployed,Maison,268160.0,2.0,Google,0,56,2.0,Mumbai,Landing Page Submission,Email Bounced,Modified,0,Froid,107.264,1.7120000000000002
75,4459.0,Unemployed,Maison,252800.0,4.0,Referral Sites,0,174,2.0,Select,API,Email Link Clicked,Modified,1,Froid,56.69432608208118,2.948
69,3840.0,Unemployed,Studio,488478.0,4.0,Direct Traffic,0,1149,2.0,Mumbai,Landing Page Submission,Email Opened,Email Opened,1,Froid,127.2078125,4.898
29,6730.0,Unknown,Maison,498166.0,2.0,Direct Traffic,0,333,2.0,Other Cities,Landing Page Submission,Email Opened,Email Opened,1,Froid,74.02169390787519,2.266
56,3880.0,Unemployed,Maison,245898.0,7.0,Organic Search,0,471,2.33,Select,API,Email Opened,Email Opened,2,Tiede,63.37577319587629,5.141
19,4648.0,Unemployed,Terrain,297500.0,3.0,Direct Traffic,1,1010,3.0,Other Metro Cities,Landing Page Submission,Email Opened,Email Opened,4,Chaud,64.00602409638554,4.42
20,4859.0,Unemployed,Terrain,175000.0,10.0,Olark Chat,1,1815,3.33,Other Cities of Maharashtra,API,Had a Phone Conversation,Had a Phone Conversation,5,Chaud,36.01564107841119,9.629
73,2504.0,Unemployed,Studio,243152.0,2.0,Direct Traffic,0,47,2.0,Other Cities,Landing Page Submission,Email Link Clicked,Email Link Clicked,1,Froid,97.10543130990415,1.6940000000000002
76,3594.0,Unemployed,Villa,262500.0,3.0,Direct Traffic,1,1528,1.5,Other Cities,Landing Page Submission,Email Opened,Modified,3,Tiede,73.03839732888147,5.006
